epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1021,2.10795,4.5688,1.77871,0.00126,0.13542,0.00115,0.00067,1.77334,3.9035,1.73159,0.00012861,0.00012861,0.00012861
2,19.2793,1.96805,3.48242,1.58207,0.00246,0.24236,0.09628,0.03975,1.70265,3.64169,1.44914,0.00026703,0.00026703,0.00026703
3,26.1675,1.76943,2.61377,1.43029,0.00582,0.39444,0.23304,0.15265,1.58858,3.41111,1.34079,0.000400734,0.000400734,0.000400734
4,33.0008,1.71431,2.07675,1.48858,0.00532,0.43542,0.34244,0.20356,1.55962,3.27449,1.3112,0.000529723,0.000529723,0.000529723
5,40.2414,1.68139,1.92671,1.42521,0.00484,0.43542,0.34964,0.19401,1.67068,3.19983,1.42108,0.000653996,0.000653996,0.000653996
6,46.8472,1.63051,1.88961,1.38013,1,0.13753,0.34292,0.20652,1.55066,3.01266,1.32212,0.000773553,0.000773553,0.000773553
7,53.3866,1.60425,1.75,1.335,0.76859,0.05942,0.33376,0.1583,1.71389,2.92709,1.43039,0.000888395,0.000888395,0.000888395
8,59.8767,1.61442,1.77647,1.38322,0.87938,0.18063,0.39973,0.19471,1.70162,2.5857,1.43139,0.000998521,0.000998521,0.000998521
9,66.519,1.53808,1.66837,1.36373,0.85629,0.42847,0.48483,0.2394,1.85219,2.21947,1.55955,0.00110393,0.00110393,0.00110393
10,73.1489,1.4713,1.59234,1.31511,0.89324,0.525,0.75167,0.35937,1.64793,1.8673,1.4189,0.00120463,0.00120463,0.00120463
11,79.4972,1.54435,1.6231,1.36216,0.81439,0.35863,0.61356,0.27124,1.91723,2.0792,1.53059,0.00119322,0.00119322,0.00119322
12,86.4204,1.54746,1.62476,1.35732,0.64558,0.66792,0.69475,0.38135,1.59186,1.69337,1.33756,0.00116964,0.00116964,0.00116964
13,92.9667,1.47654,1.42822,1.2828,0.61449,0.63216,0.65643,0.32537,1.73327,1.6898,1.41864,0.00114606,0.00114606,0.00114606
14,99.7859,1.46139,1.39866,1.28003,0.7021,0.74029,0.72532,0.37537,1.60721,1.33134,1.41634,0.00112248,0.00112248,0.00112248
15,106.249,1.48101,1.39449,1.2929,0.78231,0.79487,0.77019,0.38863,1.60089,1.28088,1.41714,0.0010989,0.0010989,0.0010989
16,112.832,1.41758,1.3627,1.28388,0.73555,0.77801,0.73482,0.40356,1.57675,1.30236,1.39938,0.00107532,0.00107532,0.00107532
17,119.579,1.41576,1.31905,1.26257,0.76324,0.79209,0.77347,0.40101,1.60087,1.23577,1.39537,0.00105174,0.00105174,0.00105174
18,125.97,1.47221,1.35194,1.25725,0.77683,0.72988,0.73841,0.41173,1.60194,1.22615,1.42362,0.00102817,0.00102817,0.00102817
