epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6454,2.17487,4.60247,1.81019,0.00098,0.10753,0.00066,0.00041,1.85305,3.98519,1.84107,5.716e-05,5.716e-05,5.716e-05
2,82.3895,2.03484,4.49201,1.6927,0.00163,0.16129,0.00125,0.00075,1.78298,3.8962,1.68477,0.000126064,0.000126064,0.000126064
3,113.952,1.88893,3.69356,1.58009,0.00297,0.26882,0.16776,0.07583,1.63516,3.68452,1.39111,0.000192138,0.000192138,0.000192138
4,126.635,1.74231,2.65287,1.48533,0.00418,0.29032,0.21401,0.11009,1.58697,3.60956,1.45303,0.000255382,0.000255382,0.000255382
5,138.522,1.67219,2.1835,1.48638,0.00811,0.35484,0.14702,0.08175,1.63258,3.56384,1.47548,0.000315798,0.000315798,0.000315798
6,150.376,1.58954,1.99366,1.38228,0.00777,0.4086,0.30574,0.19088,1.60867,3.43007,1.43469,0.000373383,0.000373383,0.000373383
7,162.108,1.52632,1.83714,1.32649,0.00639,0.39785,0.27436,0.15945,1.71783,3.37226,1.36897,0.00042814,0.00042814,0.00042814
8,174.034,1.58245,1.82652,1.34697,0.00686,0.44086,0.33164,0.1987,1.57704,3.31275,1.32483,0.000480067,0.000480067,0.000480067
9,186.042,1.53147,1.70798,1.31351,0.00582,0.36559,0.30943,0.19232,1.56184,3.39525,1.32185,0.000529164,0.000529164,0.000529164
10,198.166,1.52634,1.6662,1.3331,0.00513,0.36559,0.33171,0.21537,1.60096,3.25461,1.37081,0.000575433,0.000575433,0.000575433
11,210.176,1.48455,1.61807,1.2662,0.00426,0.38314,0.32668,0.21466,1.5654,3.15571,1.32898,0.000618871,0.000618871,0.000618871
12,222.247,1.47888,1.57939,1.28686,0.00503,0.52179,0.42826,0.26021,1.52072,3.01487,1.35313,0.000659481,0.000659481,0.000659481
13,234.225,1.45085,1.51453,1.2582,0.00525,0.58121,0.4811,0.28008,1.56301,2.95482,1.35534,0.000697261,0.000697261,0.000697261
14,246.415,1.44935,1.51522,1.26131,0.78439,0.47851,0.56836,0.31054,1.5693,2.76879,1.3941,0.000732211,0.000732211,0.000732211
15,257.785,1.44898,1.51061,1.26263,1,0.11482,0.60642,0.32468,1.50134,2.62551,1.32651,0.000764332,0.000764332,0.000764332
16,269.408,1.39405,1.46229,1.24922,0.65511,0.29939,0.54051,0.29668,1.53716,2.47895,1.40956,0.000793624,0.000793624,0.000793624
17,281.386,1.3988,1.43726,1.23717,0.98889,0.32489,0.62504,0.35236,1.49779,2.2953,1.33021,0.000820086,0.000820086,0.000820086
