epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.57414,2.21101,4.62332,1.86461,0.00102,0.11111,0.0007,0.00039,1.92015,3.96896,1.9494,5.716e-05,5.716e-05,5.716e-05
2,9.49245,2.11374,4.54901,1.80598,0.00132,0.13333,0.00104,0.00053,1.84068,3.89099,1.77249,0.000127018,0.000127018,0.000127018
3,12.5624,2.07088,4.0674,1.6946,0.00218,0.2,0.06677,0.03737,1.86329,3.73511,1.60213,0.000195109,0.000195109,0.000195109
4,15.5752,1.87729,3.34585,1.51906,0.00306,0.31111,0.11822,0.06551,1.70274,3.67616,1.48339,0.00026143,0.00026143,0.00026143
5,18.5133,1.79517,3.01463,1.45675,0.00409,0.4,0.26056,0.13871,1.62915,3.4488,1.31706,0.000325983,0.000325983,0.000325983
6,21.6406,1.67846,2.51462,1.4108,0.00635,0.55556,0.27654,0.12533,1.60094,3.43223,1.37009,0.000388768,0.000388768,0.000388768
7,24.6494,1.64133,2.17128,1.43911,0.007,0.51111,0.30036,0.17556,1.54776,3.39478,1.41047,0.000449785,0.000449785,0.000449785
8,27.6214,1.7887,2.05936,1.56269,0.00757,0.53333,0.37795,0.20384,1.57915,3.35195,1.47343,0.000509033,0.000509033,0.000509033
9,30.6053,1.62947,2.10545,1.41078,0.00651,0.46667,0.36945,0.20024,1.51936,3.28428,1.33501,0.000566513,0.000566513,0.000566513
10,33.5865,1.70921,1.931,1.44512,0.0069,0.51111,0.36069,0.20595,1.54159,3.2764,1.34377,0.000622224,0.000622224,0.000622224
11,36.5135,1.63134,1.78142,1.44385,0.00837,0.53333,0.36083,0.17454,1.75392,3.2114,1.38737,0.000676167,0.000676167,0.000676167
12,39.521,1.57765,1.73326,1.38927,0.00932,0.6,0.40497,0.2237,1.59742,3.0271,1.33788,0.000728342,0.000728342,0.000728342
13,42.649,1.56269,1.73787,1.3828,0.0098,0.6,0.39914,0.1904,1.75104,3.05095,1.38128,0.000778748,0.000778748,0.000778748
14,45.5778,1.54524,1.76277,1.35218,0.669,0.42222,0.34307,0.18448,1.69117,2.87292,1.36278,0.000827386,0.000827386,0.000827386
15,48.5917,1.51121,1.6739,1.33103,1,0.23864,0.41553,0.20614,1.68894,2.59852,1.35539,0.000874255,0.000874255,0.000874255
16,51.4478,1.46435,1.59917,1.28164,0.96637,0.19822,0.38462,0.20289,1.82963,2.59962,1.44257,0.000919356,0.000919356,0.000919356
17,54.3376,1.53827,1.5901,1.33613,0.66667,0.28249,0.5286,0.25051,1.83596,2.51856,1.43796,0.000962689,0.000962689,0.000962689
18,57.105,1.48563,1.51281,1.32004,0.66667,0.30603,0.56755,0.26925,1.86162,2.39957,1.45497,0.00100425,0.00100425,0.00100425
19,60.3353,1.41176,1.4608,1.32728,0.62411,0.31111,0.60489,0.30048,1.78903,2.17286,1.40842,0.00104405,0.00104405,0.00104405
