epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.18547,2.21165,4.06593,1.73776,0.0026,0.28889,0.00275,0.00155,1.80817,3.83691,1.7728,0.00024293,0.00024293,0.00024293
2,11.6052,2.08169,3.53889,1.59037,0.00533,0.51111,0.24723,0.12026,1.74768,3.53548,1.49479,0.000480344,0.000480344,0.000480344
3,13.8571,1.92789,2.93263,1.4836,0.96738,0.20526,0.34675,0.17892,1.71227,3.09963,1.38173,0.000697386,0.000697386,0.000697386
4,16.0993,1.81825,2.52262,1.41791,0.80815,0.33372,0.45524,0.24748,1.70747,2.49636,1.38138,0.000894057,0.000894057,0.000894057
5,18.3216,1.77112,2.28122,1.38122,0.83431,0.41564,0.50403,0.24846,1.79222,2.24185,1.49335,0.00107036,0.00107036,0.00107036
6,20.549,1.80289,1.99923,1.40493,0.80983,0.48148,0.62561,0.34518,1.79759,1.89995,1.50708,0.00114606,0.00114606,0.00114606
7,22.8253,1.77787,2.01277,1.42947,0.8157,0.66836,0.72595,0.38271,1.62719,1.72668,1.44995,0.00108947,0.00108947,0.00108947
8,25.0008,1.65497,1.89942,1.34263,0.87003,0.78002,0.79478,0.42384,1.6562,1.53708,1.45705,0.00103288,0.00103288,0.00103288
9,27.2112,1.62571,1.81672,1.32959,0.77894,0.7037,0.745,0.38429,1.59018,1.42804,1.37594,0.000976293,0.000976293,0.000976293
10,29.3455,1.67481,1.78543,1.3926,0.86705,0.68876,0.76903,0.42088,1.62744,1.44282,1.36478,0.000919704,0.000919704,0.000919704
11,31.5697,1.64179,1.67279,1.37056,0.90333,0.75352,0.78674,0.46765,1.59288,1.40308,1.37662,0.000863116,0.000863116,0.000863116
12,33.7618,1.58204,1.58083,1.35587,0.84056,0.76097,0.7974,0.42374,1.62149,1.49644,1.41821,0.000806528,0.000806528,0.000806528
13,35.907,1.64475,1.64748,1.38465,0.93062,0.80226,0.87191,0.42567,1.65357,1.32898,1.4134,0.000749939,0.000749939,0.000749939
14,38.1291,1.5732,1.58934,1.31905,0.89173,0.80478,0.89134,0.45791,1.62827,1.26124,1.38894,0.000693351,0.000693351,0.000693351
15,40.2904,1.57777,1.46317,1.29709,0.84458,0.79733,0.83763,0.44856,1.60559,1.32302,1.3951,0.000636762,0.000636762,0.000636762
