epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.411,2.07023,4.55703,1.73424,0.0012,0.10753,0.00281,0.00136,1.82495,3.89762,1.68613,0.00012861,0.00012861,0.00012861
2,27.0873,1.93099,3.51478,1.53461,0.00411,0.27957,0.17801,0.10474,1.81967,3.58697,1.41915,0.000244631,0.000244631,0.000244631
3,34.7362,1.78088,2.65759,1.35332,0.0099,0.37634,0.26691,0.16883,1.60481,3.49048,1.37585,0.000332357,0.000332357,0.000332357
4,42.5365,1.73491,2.09793,1.42216,0.01204,0.41935,0.31871,0.18143,1.56201,3.35136,1.39531,0.000391789,0.000391789,0.000391789
5,50.7547,1.63462,1.99111,1.36392,0.01283,0.43011,0.33051,0.19213,1.49512,3.28464,1.35512,0.000422927,0.000422927,0.000422927
6,59.4782,1.61045,1.87428,1.35199,0.01441,0.45161,0.37498,0.21756,1.52863,3.06671,1.28197,0.000425771,0.000425771,0.000425771
7,67.2572,1.48849,1.74678,1.29388,0.01205,0.61856,0.44725,0.21719,1.61582,2.97627,1.2995,0.00040032,0.00040032,0.00040032
8,74.474,1.46905,1.7328,1.24419,1,0.05865,0.59147,0.28967,1.65913,2.75867,1.33275,0.000346575,0.000346575,0.000346575
9,82.1761,1.43816,1.6099,1.2636,0.97573,0.274,0.61867,0.32224,1.62698,2.4341,1.30092,0.000264536,0.000264536,0.000264536
10,89.4872,1.44185,1.64364,1.27928,0.98123,0.32258,0.69948,0.36561,1.61092,2.13007,1.29672,0.000154203,0.000154203,0.000154203
