epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5302,2.22606,4.6294,1.88131,0.00102,0.11111,0.0007,0.00039,1.92048,3.96631,1.94945,5.716e-05,5.716e-05,5.716e-05
2,22.5117,2.10633,4.409,1.81828,0.00123,0.13333,0.00092,0.00042,1.85614,3.86758,1.75659,0.000115878,0.000115878,0.000115878
3,28.1632,2.01491,4.0405,1.67324,0.00307,0.35556,0.09176,0.05041,1.7517,3.77763,1.58372,0.000160448,0.000160448,0.000160448
4,33.4532,1.89084,3.26909,1.55396,0.00388,0.43704,0.14521,0.07328,1.7328,3.68847,1.511,0.000190872,0.000190872,0.000190872
5,38.9566,1.80989,2.82386,1.49292,0.00378,0.4,0.3251,0.17131,1.65667,3.54644,1.37897,0.000207148,0.000207148,0.000207148
6,44.2143,1.74112,2.57091,1.40926,0.0045,0.46667,0.37525,0.18597,1.5882,3.43269,1.29485,0.000209277,0.000209277,0.000209277
7,49.7186,1.7223,2.35317,1.4263,0.00566,0.55556,0.41997,0.1887,1.44008,3.36129,1.25705,0.000197259,0.000197259,0.000197259
8,54.9173,1.59356,2.17641,1.36167,0.00577,0.55556,0.45146,0.21903,1.41414,3.2966,1.24831,0.000171094,0.000171094,0.000171094
9,59.8298,1.52739,2.00182,1.33498,0.00551,0.51111,0.43331,0.24306,1.42706,3.2105,1.24669,0.000130782,0.000130782,0.000130782
10,65.2326,1.56195,1.93927,1.30905,0.00557,0.51111,0.45693,0.25429,1.41688,3.15091,1.24838,7.63229e-05,7.63229e-05,7.63229e-05
