epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.251,2.21101,4.62332,1.86461,0.00102,0.11111,0.0007,0.00039,1.92015,3.96896,1.9494,5.716e-05,5.716e-05,5.716e-05
2,14.3026,2.11305,4.55032,1.80684,0.00132,0.13333,0.00104,0.00054,1.827,3.89653,1.77125,0.000126064,0.000126064,0.000126064
3,17.3607,2.01811,4.09236,1.69691,0.00173,0.13333,0.05253,0.03061,1.66489,3.79969,1.58265,0.000192138,0.000192138,0.000192138
4,20.2342,1.82437,3.34334,1.5616,0.00516,0.28889,0.17809,0.08687,1.67567,3.72464,1.54791,0.000255382,0.000255382,0.000255382
5,23.1409,1.76538,2.93453,1.5012,0.00916,0.42222,0.2337,0.11422,1.73602,3.55605,1.56496,0.000315798,0.000315798,0.000315798
6,25.9933,1.6597,2.41228,1.45505,0.01161,0.46667,0.30968,0.1814,1.56942,3.49359,1.4345,0.000373383,0.000373383,0.000373383
7,28.8037,1.66804,2.17407,1.50583,0.01236,0.57778,0.32971,0.20061,1.52969,3.42164,1.33539,0.00042814,0.00042814,0.00042814
8,31.5719,1.63233,1.97255,1.45593,0.01448,0.6,0.31024,0.17958,1.62619,3.33074,1.39934,0.000480067,0.000480067,0.000480067
9,34.3355,1.6868,1.89523,1.48382,0.00997,0.55556,0.33344,0.19588,1.6031,3.28219,1.38796,0.000529164,0.000529164,0.000529164
10,37.1925,1.65667,1.83836,1.44942,0.00832,0.57778,0.34339,0.19825,1.76586,3.17976,1.37925,0.000575433,0.000575433,0.000575433
11,39.9637,1.68893,1.84911,1.5272,0.0098,0.62222,0.32419,0.18334,1.68271,3.18344,1.41362,0.000618871,0.000618871,0.000618871
12,42.9751,1.54149,1.71005,1.44511,0.00946,0.57778,0.41661,0.22241,1.5751,3.06755,1.40018,0.000659481,0.000659481,0.000659481
13,46.0695,1.49932,1.70023,1.39333,0.00908,0.6,0.43851,0.23064,1.616,2.9971,1.41159,0.000697261,0.000697261,0.000697261
14,49.042,1.54593,1.63126,1.3983,1,0.26909,0.49695,0.22808,1.78841,2.78808,1.45665,0.000732211,0.000732211,0.000732211
