epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.04338,2.21101,4.62332,1.86461,0.00102,0.11111,0.0007,0.00039,1.92015,3.96896,1.9494,5.716e-05,5.716e-05,5.716e-05
2,8.90599,2.11374,4.54933,1.80659,0.00132,0.13333,0.00104,0.00054,1.84189,3.88974,1.76831,0.000127337,0.000127337,0.000127337
3,12.1595,2.04479,4.0771,1.68385,0.00164,0.15556,0.0461,0.02525,1.93463,3.75062,1.63148,0.000196099,0.000196099,0.000196099
4,15.0664,1.8784,3.35184,1.52314,0.00469,0.43704,0.19566,0.09841,1.79863,3.58304,1.45205,0.000263446,0.000263446,0.000263446
5,17.938,1.83627,2.95421,1.50015,0.00665,0.59259,0.31958,0.15678,1.62861,3.45056,1.32178,0.000329379,0.000329379,0.000329379
6,20.867,1.65932,2.40856,1.40587,0.00703,0.48889,0.27527,0.11373,1.56778,3.46605,1.38565,0.000393897,0.000393897,0.000393897
7,23.7415,1.68201,2.18815,1.46434,0.00611,0.46667,0.30315,0.173,1.66731,3.38161,1.63045,0.000457,0.000457,0.000457
8,26.6912,1.65338,1.9956,1.46089,0.00561,0.48889,0.36384,0.19957,1.58622,3.29245,1.46136,0.000518688,0.000518688,0.000518688
9,29.5624,1.62107,1.92149,1.41032,0.00519,0.48889,0.39121,0.23556,1.57344,3.18734,1.50112,0.000578962,0.000578962,0.000578962
10,32.4537,1.6289,1.92791,1.45498,0.00686,0.57037,0.38374,0.21491,1.5645,3.15936,1.46706,0.000637821,0.000637821,0.000637821
11,35.4174,1.66727,1.80035,1.48875,0.65751,0.46667,0.43893,0.25081,1.51794,2.97508,1.38317,0.000695266,0.000695266,0.000695266
12,38.5461,1.60508,1.74451,1.4091,0.78916,0.60558,0.5996,0.28484,1.69993,2.84726,1.53441,0.000751295,0.000751295,0.000751295
13,41.8213,1.58917,1.76216,1.38838,0.00805,0.64444,0.55592,0.26497,1.67936,2.78968,1.4826,0.00080591,0.00080591,0.00080591
