epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.04598,2.21101,4.62332,1.86461,0.00102,0.11111,0.0007,0.00039,1.92015,3.96896,1.9494,5.716e-05,5.716e-05,5.716e-05
2,9.01276,2.10981,4.54583,1.80294,0.00133,0.13333,0.00104,0.00054,1.81615,3.88415,1.7575,0.000127549,0.000127549,0.000127549
3,11.9806,2.04901,4.0667,1.70104,0.00119,0.08889,0.04574,0.03188,1.9691,3.75198,1.67144,0.000196759,0.000196759,0.000196759
4,14.896,1.82659,3.29051,1.5472,0.00286,0.22222,0.10792,0.06878,1.74575,3.74816,1.59536,0.00026479,0.00026479,0.00026479
5,17.8896,1.75551,2.90281,1.52214,0.00501,0.4,0.26043,0.11799,1.77285,3.5718,1.49146,0.000331642,0.000331642,0.000331642
6,20.8332,1.67501,2.45655,1.47583,0.0072,0.48889,0.30756,0.14635,1.60466,3.44781,1.34026,0.000397316,0.000397316,0.000397316
7,23.6755,1.69263,2.19227,1.49769,0.00987,0.37778,0.273,0.15498,1.7173,3.48019,1.57062,0.00046181,0.00046181,0.00046181
8,26.4502,1.63089,1.96048,1.48715,0.01293,0.35556,0.26914,0.162,1.72605,3.37055,1.51427,0.000525125,0.000525125,0.000525125
9,29.2975,1.62824,1.89703,1.42367,0.01221,0.4,0.29302,0.17667,1.64681,3.29343,1.44579,0.000587262,0.000587262,0.000587262
10,32.0893,1.67742,1.91367,1.44238,0.01153,0.44444,0.30556,0.18281,1.67738,3.28654,1.39151,0.000648219,0.000648219,0.000648219
11,34.8774,1.61294,1.7923,1.39935,0.00776,0.42222,0.31018,0.18091,1.86227,3.12676,1.4821,0.000707998,0.000707998,0.000707998
12,37.644,1.58384,1.7125,1.4212,0.00785,0.42222,0.35119,0.21447,1.71444,3.05591,1.414,0.000766598,0.000766598,0.000766598
13,40.4769,1.56958,1.67233,1.39179,0.00753,0.44444,0.35152,0.21336,1.8107,3.00202,1.44463,0.000824019,0.000824019,0.000824019
14,43.2023,1.58549,1.61672,1.39352,1,0.28245,0.53909,0.28439,1.7427,2.6758,1.4723,0.00088026,0.00088026,0.00088026
15,46.09,1.52677,1.67365,1.36792,1,0.31738,0.53115,0.27771,1.86601,2.525,1.54378,0.000935323,0.000935323,0.000935323
16,48.864,1.57062,1.60781,1.3665,0.79533,0.20014,0.54709,0.27486,1.84278,2.52491,1.60376,0.000989207,0.000989207,0.000989207
17,51.7042,1.57659,1.65264,1.38813,0.90833,0.47329,0.78806,0.41193,1.64952,2.18235,1.50998,0.00104191,0.00104191,0.00104191
18,54.4447,1.52861,1.55474,1.35996,0.98075,0.35823,0.60196,0.33543,1.75693,2.09205,1.55176,0.00109344,0.00109344,0.00109344
19,57.5226,1.40389,1.51613,1.32311,0.94691,0.37586,0.53613,0.28873,1.87033,1.9567,1.63016,0.00114379,0.00114379,0.00114379
20,60.2955,1.44883,1.47685,1.31629,0.95981,0.52642,0.82333,0.39159,1.71435,1.75578,1.56899,0.00119295,0.00119295,0.00119295
21,63.0127,1.42931,1.38987,1.2864,0.95056,0.52814,0.78607,0.40301,1.7397,1.73371,1.58901,0.00119322,0.00119322,0.00119322
22,65.6895,1.43858,1.43056,1.27453,0.65367,0.54686,0.79591,0.4121,1.72409,1.61976,1.53545,0.00118143,0.00118143,0.00118143
23,68.3834,1.45758,1.40978,1.28978,0.61301,0.58129,0.81133,0.41882,1.71572,1.51196,1.48978,0.00116964,0.00116964,0.00116964
24,71.1414,1.41781,1.31686,1.28519,0.75419,0.71111,0.77646,0.38182,1.76277,1.41052,1.57055,0.00115785,0.00115785,0.00115785
25,73.7818,1.47228,1.36167,1.29536,0.84162,0.77778,0.84596,0.43389,1.65132,1.21577,1.44334,0.00114606,0.00114606,0.00114606
26,76.6088,1.4138,1.28931,1.27052,0.83854,0.81296,0.87862,0.44051,1.677,1.15708,1.44365,0.00113427,0.00113427,0.00113427
27,79.3514,1.36943,1.28186,1.2323,0.82917,0.86379,0.88566,0.4489,1.67661,1.13912,1.49781,0.00112248,0.00112248,0.00112248
28,82.0816,1.4736,1.30474,1.2716,0.89469,0.84229,0.85735,0.41427,1.72805,1.20287,1.57847,0.00111069,0.00111069,0.00111069
29,84.8111,1.46418,1.24218,1.26056,0.9431,0.87159,0.91246,0.43283,1.68096,1.15074,1.49408,0.0010989,0.0010989,0.0010989
