epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,297.592,1.24482,0.93854,1.11206,0.85464,0.81819,0.80948,0.4331,1.54078,0.98845,1.31175,0.000703961,0.000703961,0.000703961
43,304.723,1.27442,0.98725,1.15297,0.85997,0.80238,0.79255,0.45086,1.50598,1.00622,1.2997,0.000686277,0.000686277,0.000686277
44,311.617,1.20128,0.95165,1.11249,0.83272,0.7932,0.78748,0.44846,1.53849,0.9862,1.33099,0.000668593,0.000668593,0.000668593
45,318.301,1.21121,0.90498,1.11912,0.8678,0.7932,0.80464,0.4472,1.54111,0.98375,1.31822,0.000650909,0.000650909,0.000650909
46,324.919,1.2226,0.89512,1.12805,0.85038,0.78302,0.83091,0.4712,1.51773,0.96022,1.31782,0.000633226,0.000633226,0.000633226
47,331.598,1.2363,0.89693,1.1224,0.83484,0.80133,0.8273,0.45772,1.52285,0.97288,1.31172,0.000615542,0.000615542,0.000615542
48,338.695,1.23626,0.94302,1.13456,0.88358,0.73234,0.82477,0.47318,1.51608,0.96856,1.29681,0.000597858,0.000597858,0.000597858
49,345.493,1.19056,0.87166,1.0994,0.86069,0.80101,0.85194,0.4593,1.49716,0.97662,1.3022,0.000580174,0.000580174,0.000580174
50,352.19,1.244,0.88179,1.15685,0.84589,0.78677,0.8235,0.44112,1.57339,1.04869,1.38168,0.00056249,0.00056249,0.00056249
51,358.918,1.2174,0.88856,1.12533,0.87704,0.82878,0.87348,0.44496,1.55769,0.97861,1.32694,0.000544806,0.000544806,0.000544806
52,365.811,1.19452,0.83383,1.13134,0.83635,0.7813,0.80944,0.43762,1.53358,0.92279,1.31084,0.000527122,0.000527122,0.000527122
53,372.688,1.15652,0.85293,1.10903,0.87421,0.78677,0.84748,0.45521,1.55971,0.912,1.34835,0.000509438,0.000509438,0.000509438
54,379.685,1.18343,0.87909,1.05902,0.86808,0.77142,0.83624,0.45773,1.55573,0.98976,1.32919,0.000491755,0.000491755,0.000491755
55,386.486,1.1588,0.80092,1.09981,0.84197,0.80625,0.82957,0.45237,1.59246,0.96881,1.35408,0.000474071,0.000474071,0.000474071
56,394.571,1.1352,0.7959,1.09389,0.8468,0.79384,0.80252,0.45215,1.57623,0.95861,1.3671,0.000456387,0.000456387,0.000456387
57,402.599,1.17868,0.79357,1.08417,0.85462,0.80248,0.80394,0.46071,1.55159,0.91232,1.34691,0.000438703,0.000438703,0.000438703
58,410.418,1.18073,0.77819,1.13137,0.80898,0.78236,0.78991,0.41508,1.66471,0.91531,1.41884,0.000421019,0.000421019,0.000421019
59,418.419,1.14239,0.76206,1.10072,0.86209,0.81542,0.8265,0.45724,1.58007,0.92398,1.38044,0.000403335,0.000403335,0.000403335
60,426.375,1.15049,0.77417,1.07478,0.80075,0.78677,0.77333,0.42714,1.53717,0.96791,1.29883,0.000385651,0.000385651,0.000385651
61,433.836,1.17505,0.77615,1.10155,0.8934,0.83765,0.87519,0.45583,1.56247,0.9221,1.34154,0.000367967,0.000367967,0.000367967
62,440.766,1.15334,0.78514,1.10932,0.86349,0.8441,0.84128,0.45889,1.55605,0.84993,1.33281,0.000350284,0.000350284,0.000350284
63,447.328,1.159,0.77479,1.05496,0.85237,0.85344,0.87318,0.45191,1.54987,0.83378,1.33386,0.0003326,0.0003326,0.0003326
64,455.356,1.12111,0.74653,1.08324,0.84973,0.82654,0.84093,0.45109,1.60115,0.84012,1.38035,0.000314916,0.000314916,0.000314916
65,462.771,1.14202,0.76372,1.07173,0.85358,0.82654,0.84582,0.44546,1.62975,0.86558,1.38035,0.000297232,0.000297232,0.000297232
66,470.094,1.049,0.73363,1.05273,0.81877,0.79145,0.78933,0.43126,1.63882,0.87098,1.37127,0.000279548,0.000279548,0.000279548
67,477.37,1.08925,0.72391,1.04484,0.82452,0.80256,0.79923,0.45084,1.62355,0.87205,1.36707,0.000261864,0.000261864,0.000261864
68,484.767,1.05644,0.72723,1.04422,0.8144,0.79537,0.83489,0.45185,1.61541,0.84872,1.39272,0.00024418,0.00024418,0.00024418
69,491.916,1.10695,0.73177,1.0719,0.80234,0.79149,0.82172,0.45848,1.63633,0.83596,1.41747,0.000226497,0.000226497,0.000226497
70,498.759,1.09395,0.71877,1.04541,0.83062,0.81306,0.85076,0.45846,1.65594,0.82606,1.45298,0.000208813,0.000208813,0.000208813
71,506.703,1.07559,0.6931,1.02676,0.82459,0.79788,0.8384,0.45024,1.67793,0.82785,1.47488,0.000191129,0.000191129,0.000191129
72,513.739,1.09619,0.72626,1.05861,0.8412,0.78209,0.81724,0.44381,1.65561,0.83311,1.44746,0.000173445,0.000173445,0.000173445
73,520.853,1.09638,0.72993,1.05343,0.826,0.76998,0.83858,0.43064,1.66672,0.84163,1.43984,0.000155761,0.000155761,0.000155761
74,527.807,1.05139,0.69536,1.03647,0.82261,0.75333,0.7775,0.42306,1.68088,0.85503,1.45289,0.000138077,0.000138077,0.000138077
75,534.537,1.00852,0.73005,1.0353,0.82211,0.75811,0.78747,0.43604,1.66091,0.84836,1.44658,0.000120393,0.000120393,0.000120393
76,541.23,0.99057,0.65865,1.03652,0.83295,0.80787,0.8241,0.44303,1.64041,0.84236,1.44649,0.000102709,0.000102709,0.000102709
77,547.709,1.05343,0.69142,1.05362,0.84473,0.80404,0.82089,0.44471,1.63991,0.84076,1.44918,8.50255e-05,8.50255e-05,8.50255e-05
78,554.575,1.04975,0.66308,1.04824,0.84264,0.80899,0.82248,0.44655,1.64641,0.83066,1.45325,6.73416e-05,6.73416e-05,6.73416e-05
79,560.842,1.01816,0.67461,1.00626,0.84322,0.80899,0.82587,0.44718,1.64905,0.82636,1.46031,4.96578e-05,4.96578e-05,4.96578e-05
80,567.689,0.98637,0.65278,0.99376,0.84807,0.79788,0.83055,0.44771,1.65339,0.81429,1.4654,3.19739e-05,3.19739e-05,3.19739e-05
