epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7076,2.17487,4.60247,1.81019,0.00098,0.10753,0.00066,0.00041,1.85305,3.98519,1.84107,5.716e-05,5.716e-05,5.716e-05
2,64.7712,2.03484,4.49201,1.6927,0.00163,0.16129,0.00125,0.00075,1.78298,3.8962,1.68477,0.000126064,0.000126064,0.000126064
3,75.3449,1.88893,3.69356,1.58009,0.00297,0.26882,0.16776,0.07583,1.63516,3.68452,1.39111,0.000192138,0.000192138,0.000192138
4,86.124,1.74231,2.65287,1.48533,0.00418,0.29032,0.21401,0.11009,1.58697,3.60956,1.45303,0.000255382,0.000255382,0.000255382
5,100.174,1.67219,2.1835,1.48638,0.00811,0.35484,0.14702,0.08175,1.63258,3.56384,1.47548,0.000315798,0.000315798,0.000315798
6,114.379,1.58954,1.99366,1.38228,0.00777,0.4086,0.30574,0.19088,1.60867,3.43007,1.43469,0.000373383,0.000373383,0.000373383
7,127.782,1.52632,1.83714,1.32649,0.00639,0.39785,0.27436,0.15945,1.71783,3.37226,1.36897,0.00042814,0.00042814,0.00042814
8,141.134,1.58245,1.82652,1.34697,0.00686,0.44086,0.33164,0.1987,1.57704,3.31275,1.32483,0.000480067,0.000480067,0.000480067
9,152.751,1.53147,1.70798,1.31351,0.00582,0.36559,0.30943,0.19232,1.56184,3.39525,1.32185,0.000529164,0.000529164,0.000529164
